model,k,iterations,variance threshold,before,after,ratio,RMSE

shockwave, 1000, 5, 0.01, 1877783, 1621453, 0.86349, 0.0151
shockwave, 100, 10, 0.01, 1877783, 1620553, 0.86301, 0.0151
shockwave, 100, 5, 0.1, 1877783, 100, 0.00005, 0.0425
shockwave, 100, 5, 0.01, 1877783, 1620553, 0.86301, 0.0046

dragon, 1000, 5, 0.1, 123934, 67031, 0.54086, 0.0077
dragon, 100, 10, 0.1, 123934, 66131, 0.53359, 0.0092
dragon, 100, 5, 0.01, 123934, 66131, 0.53359, 0.0096
dragon, 100, 5, 0.1, 123934, 66131, 0.53359, 0.0093
dragon, 100, 5, 0.99, 123934, 66131, 0.53359, 0.0279

disney cloud, 1000, 5, 0.1, 275730, 73456, 0.266405, 0.227
disney cloud, 100, 10, 0.1, 275730, 72556, 0.26314, 0.0299
disney cloud, 100, 5, 0.01, 275730, 178663, 0.64796, 0.0088
disney cloud, 100, 5, 0.1, 275730, 72556, 0.26314, 0.0283
disney cloud, 100, 5, 0.99, 275730, 100, 0.00036, 0.0659

chimney, 1000, 5, 0.1, 915701, 27820, 0.03038, 0.0109
chimney, 100, 10, 0.1, 915701, 26920, 0.02939, 0.0138
chimney, 100, 5, 0.01, 915701, 401147, 0.43807, 0.0046
chimney, 100, 5, 0.1, 915701, 26920, 0.02939, 0.0131
chimney, 100, 5, 0.99, 915701, 100, 0.00010, 0.0185
